Sr No.,Utterance,Speaker,Emotion,Sentiment,Dialogue_ID,Utterance_ID
1,also I was the point person on my company?s transition from the KL-5 to GR-6 system.,Chandler,neutral,neutral,0,0
2,You must?ve had your hands full.,The Interviewer,neutral,neutral,0,1
3,That I did. That I did.,Chandler,neutral,neutral,0,2
4,So let?s talk a little bit about your duties.,The Interviewer,neutral,neutral,0,3
5,My duties?  All right.,Chandler,surprise,positive,0,4
6,"Now you?ll be heading a whole division, so you?ll have a lot of duties.",The Interviewer,neutral,neutral,0,5
7,I see.,Chandler,neutral,neutral,0,6
8,But there?ll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,neutral,0,7
9,Good to know.,Chandler,neutral,neutral,0,8
10,We can go into detail,The Interviewer,neutral,neutral,0,9
11,No don?t I beg of you!,Chandler,fear,negative,0,10
12,"All right then, we?ll have a definite answer for you on Monday, but I think I can say with some confidence, you?ll fit in well here.",The Interviewer,neutral,neutral,0,11
13,Really?!,Chandler,surprise,positive,0,12
14,Absolutely.  You can relax,The Interviewer,neutral,neutral,0,13
15,But then who? The waitress I went out with last month?,Joey,surprise,negative,1,0
16,You know? Forget it!,Rachel,sadness,negative,1,1
17,"No-no-no-no, no! Who, who were you talking about?",Joey,surprise,negative,1,2
18,"No, I-I-I-I don't, I actually don't know",Rachel,fear,negative,1,3
19,Ok!,Joey,neutral,neutral,1,4
20,"All right, well...",Joey,neutral,neutral,1,5
23,"Yeah, sure!",Rachel,neutral,neutral,1,8
24,"Hey, Mon.",Chandler,neutral,neutral,2,0
25,Hey-hey-hey. You wanna hear something that sucks.,Monica,neutral,neutral,2,1
26,Do I ever.,Chandler,joy,positive,2,2
27,Chris says they?re closing down the bar.,Monica,sadness,negative,2,3
28,No way!,Chandler,surprise,negative,2,4
29,"Yeah, apparently they?re turning it into some kinda coffee place.",Monica,neutral,neutral,2,5
30,Just coffee! Where are we gonna hang out now?,Chandler,disgust,negative,2,6
31,Got me.,Monica,sadness,negative,2,7
32,Can I get a beer.,Chandler,neutral,neutral,2,8
33,"Hey, did you pick a roommate?",Monica,neutral,neutral,2,9
34,You betcha!,Chandler,joy,positive,2,10
35,Is it the Italian guy?,Monica,neutral,neutral,2,11
36,"Um-mm, yeah right!",Chandler,joy,positive,2,12
37,"Oh my God, oh my God! Poor Monica!",Phoebe,surprise,negative,3,0
38,"What, what, what?!",Chandler,surprise,negative,3,1
39,What?!,Phoebe,surprise,negative,3,2
40,He was with her when he wrote this poem.,Phoebe,neutral,neutral,3,3
41,"Look,  'My vessel so empty with nothing inside.",Phoebe,neutral,neutral,3,4
42,"Now that I've touched you, you seem emptier still.'",Phoebe,neutral,neutral,3,5
43,"He thinks Monica is empty, she is the empty vase!",Phoebe,surprise,negative,3,6
45,"Oh, totally. Oh, God, oh, she seemed so happy too.",Phoebe,sadness,negative,3,8
46,Done.,Joey,neutral,neutral,3,9
47,Hey!,Rachel,surprise,positive,4,0
48,Hi!,Ross,joy,positive,4,1
49,What are you doing here?,Rachel,surprise,positive,4,2
50,"Ah y'know, this building is on my paper route so I...",Ross,neutral,neutral,4,3
51,Oh.,Rachel,neutral,neutral,4,4
52,Hi.,Ross,neutral,neutral,4,5
53,Hi.,Rachel,neutral,neutral,4,6
54,How?d did it go?,Ross,neutral,neutral,4,7
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn?t shut up.",Rachel,joy,positive,4,8
56,I?m so proud of you.,Ross,joy,positive,4,9
57,Me too!,Rachel,joy,positive,4,10
58,"Listen, I?m ah, I?m sorry I?ve been so crazy and jealous and, it?s just that I like you a lot, so...",Ross,sadness,negative,4,11
59,I know.,Rachel,neutral,neutral,4,12
60,Yeah.,Ross,neutral,neutral,4,13
61,Yeah.,Rachel,neutral,neutral,4,14
62,Ameri-can.,Phoebe,neutral,neutral,5,0
63,Ameri-ccan.,Joey,neutral,neutral,5,1
64,Ameri-can. Y'know it?s a,Phoebe,neutral,neutral,5,2
65,Everybody!!,Sergei,surprise,positive,5,3
66,Good job Joe! Well done! Top notch!,Chandler,joy,positive,6,0
67,You liked it? You really liked it?,Joey,surprise,positive,6,1
68,"Oh-ho-ho, yeah!",Chandler,joy,positive,6,2
69,Which part exactly?,Joey,neutral,neutral,6,3
70,The whole thing! Can we go?,Chandler,neutral,neutral,6,4
71,"Oh no-no-no, give me some specifics.",Joey,anger,negative,6,5
72,"I love the specifics, the specifics were the best part!",Chandler,joy,positive,6,6
73,"Hey, what about the scene with the kangaroo? Did-did you like that part?",Joey,neutral,neutral,6,7
74,I was surprised to see a kangaroo in a World War I epic.,Chandler,surprise,negative,6,8
75,You fell asleep!!,Joey,anger,negative,6,9
76,There was no kangaroo!,Joey,anger,negative,6,10
77,They didn?t take any of my suggestions!,Joey,anger,negative,6,11
78,That?s for coming buddy.,Joey,neutral,neutral,6,12
79,I?ll see you later.,Joey,neutral,neutral,6,13
80,Don?t go!,Chandler,sadness,negative,6,14
81,I?m sorry.,Chandler,sadness,negative,6,15
82,I?m so sorry!,Chandler,sadness,negative,6,16
83,Look!,Chandler,surprise,negative,6,17
84,This guy fell asleep!,Chandler,anger,negative,6,18
85,He fell asleep too!,Chandler,anger,negative,6,19
86,Be mad at him!,Chandler,anger,negative,6,20
87,"Or, call an ambulance.",Chandler,anger,negative,6,21
88,"Okay, look, I think we have to tell Rachel she messed up her dessert.",Joey,neutral,neutral,7,0
89,"What?! What is with everybody? It?s Thanksgiving, not...Truth-Day!",Ross,anger,negative,7,1
90,"Yes, and it is my dying wish to have that ring.",Phoebe,neutral,neutral,8,0
91,"See, if I?m not buried with that ring then my spirit is going to wander the nether world for all eternity",Phoebe,neutral,neutral,8,1
92,"Okay, that?s enough honey!",Chandler,neutral,neutral,8,2
93,I don?t know.  Let me see the ring.,Customer,neutral,neutral,8,3
94,"Great! Okay, here.",Chandler,joy,positive,8,4
95,All right.,Customer,neutral,neutral,8,5
96,Thank you. Thank you. Thank you!  And,Chandler,joy,positive,8,6
97,What've you been up to?,Chandler,neutral,neutral,9,0
98,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,neutral,9,1
99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,neutral,9,2
100,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,9,3
101,I know.,Ross,neutral,neutral,9,4
102,I'm back.,Chandler,neutral,neutral,9,5
103,"So, are we gonna get together or what?",Jade,neutral,neutral,9,6
104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,neutral,9,7
105,"Great, I'll see you then.",Jade,neutral,neutral,9,8
106,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,9,9
107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,neutral,9,10
108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,neutral,9,11
109,Oh my god. You are pure evil.,Ross,disgust,negative,9,12
110,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,9,13
111,Nobody!,Phoebe,anger,negative,10,0
112,Nobody respects the bucket!,Phoebe,anger,negative,10,1
113,You wouldn't believe what people put in here!,Phoebe,anger,negative,10,2
114,Look!,Phoebe,anger,negative,10,3
115,"Okay, does this look like a garbage can to you?",Phoebe,anger,negative,10,4
116,No.,Monica,neutral,neutral,10,5
117,This is my wedding.,Ross,neutral,neutral,11,0
118,"All right, y?know what? We really are late! Let?s go! Let?s go! Let?s go!!",Monica,anger,negative,11,1
119,Fine. You?ll-you?ll watch it on video when we get back.,Ross,neutral,neutral,11,2
120,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Chandler,joy,positive,11,3
121,Thank you.,Phoebe,neutral,neutral,11,4
122,Thank you.,Phoebe,neutral,neutral,11,5
123,"All right, let?s go! Bye, Pheebs!",Ross,joy,positive,11,6
124,"Bye, Pheebs!",Joey,joy,positive,11,7
125,London baby!!,Joey,joy,positive,11,8
126,"Oh, do you need a hug? You don?t have to bring me anything!",Phoebe,joy,positive,11,9
127,Hey!,Chandler,neutral,neutral,12,0
128,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I?ll have my health insurance back in no time.,Joey,joy,positive,12,1
129,"That?s great, but shouldn?t you be on the toilet right now?",Chandler,disgust,negative,12,2
130,What?!,Joey,surprise,negative,12,3
131,What?s wrong with you?,Chandler,disgust,negative,12,4
132,Nothing!,Joey,neutral,neutral,12,5
133,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven?t been able to stand up since.",Joey,fear,negative,12,6
134,"But um, I don?t think it?s anything serious.",Joey,neutral,neutral,12,7
135,This sounds like a hernia. You have to?you-you go to the doctor!,Chandler,surprise,negative,12,8
136,"No way! ?Kay look, if I have to go to the doctor for anything it?s gonna be for this thing sticking out of my stomach!",Joey,fear,negative,12,9
137,That?s a hernia.,Chandler,disgust,negative,12,10
138,Why did I have to start working out again?  Damn you 15s!,Joey,anger,negative,12,11
139,I love your place! Where is this guy from?,Mona,joy,positive,13,0
140,Uh that?s an eighteenth century Indian artifact from Calcutta.,Ross,neutral,neutral,13,1
141,"Oh wow! So, you?re more than just dinosaurs.",Mona,surprise,positive,13,2
142,So much more.,Ross,neutral,neutral,13,3
143,"Well, well to sum up, we?re having fun, you look young.",Ross,neutral,neutral,14,0
144,Okay,Mona,neutral,neutral,14,1
145,But that?s not enough. So? So?here?s a key to my apartment.,Ross,neutral,neutral,14,2
146,Really?!,Mona,surprise,positive,14,3
147,Really.,Ross,neutral,neutral,14,4
148,You don?t think this is too fast.,Mona,neutral,neutral,14,5
149,Get Out!,Ross,anger,negative,15,0
150,"Ross, can I talk to you for a minute?",Charlie,neutral,neutral,15,1
151,"Yes, please!  So, what's going on?",Ross,neutral,neutral,15,2
152,"Uh, well... Joey and I broke up.",Charlie,sadness,negative,15,3
153,"Oh my God, wh-what happened?",Ross,surprise,negative,15,4
154,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!",Charlie,sadness,negative,15,5
155,I knew that was him!,Ross,anger,negative,15,6
156,"Anyway I just, uh, I think it's for the best.",Charlie,sadness,negative,15,7
157,"Hey, you ok?",Ross,neutral,neutral,15,8
158,I guess.,Charlie,sadness,negative,15,9
159,There was hum...  there was another reason that I thought it was time to end it with Joey.,Charlie,neutral,neutral,15,10
160,I started to realize that I was having feelings for someone  else.,Charlie,neutral,neutral,15,11
161,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.",Paleontologist,neutral,neutral,15,12
162,"Oh, professor Clerk we're kind of in the middle of a conversation, here.",Ross,neutral,neutral,15,13
163,"Yeah, can you guys just throw him in the pool later?",Charlie,neutral,neutral,15,14
164,Or we could throw you both in,Professore Clerk,joy,positive,15,15
165,"Ok, gentlemen!",Ross,anger,negative,15,16
166,Please!,Ross,anger,negative,15,17
167,Aren't we a little old for this?,Ross,anger,negative,15,18
168,"I mean, we're scientists, right?",Ross,neutral,neutral,15,19
169,We're academics.,Ross,anger,negative,15,20
170,And most importantly I... you-you will have to catch us first.,Ross,joy,positive,15,21
172,"GO, GO, GO!",Ross,joy,positive,15,22
173,"Go, go, go!",Ross,joy,positive,16,0
174,"Oh yeah, now everybody wants to be under this hat!",Rachel,joy,positive,16,1
175,Oy!!,Phoebe,disgust,negative,16,2
176,What?s with all this sand?,Monica,surprise,negative,16,3
177,"Oh, yeah, Bob said there might be flood damage.",Phoebe,neutral,neutral,16,4
178,"Yeah, either that, or he has a really big cat.",Ross,neutral,neutral,16,5
179,"Okay, see that blind guy right there? I'm gonna bash his head in later.",Joey,anger,negative,17,0
180,"Oh umm, my big scene is coming up. Big scene coming up.",Joey,joy,positive,17,1
181,"If you said, ""Big lima bean, bubbling up."" Would she understand the difference?",Chandler,neutral,neutral,17,2
182,Rach? What are you doing?,Monica,neutral,neutral,17,3
