Sr No.,Utterance,Speaker,Emotion,Sentiment,Utterance_ID
1,also I was the point person on my company?s transition from the KL-5 to GR-6 system.,Chandler,neutral,neutral,0
2,You must?ve had your hands full.,The Interviewer,neutral,neutral,1
3,That I did. That I did.,Chandler,neutral,neutral,2
4,So let?s talk a little bit about your duties.,The Interviewer,neutral,neutral,3
5,My duties?  All right.,Chandler,surprise,positive,4
6,"Now you?ll be heading a whole division, so you?ll have a lot of duties.",The Interviewer,neutral,neutral,5
7,I see.,Chandler,neutral,neutral,6
8,But there?ll be perhaps 30 people under you so you can dump a certain amount on them.,The Interviewer,neutral,neutral,7
9,Good to know.,Chandler,neutral,neutral,8
10,We can go into detail,The Interviewer,neutral,neutral,9
11,No don?t I beg of you!,Chandler,fear,negative,10
12,"All right then, we?ll have a definite answer for you on Monday, but I think I can say with some confidence, you?ll fit in well here.",The Interviewer,neutral,neutral,11
13,Really?!,Chandler,surprise,positive,12
14,Absolutely.  You can relax,The Interviewer,neutral,neutral,13
47,Hey!,Rachel,surprise,positive,0
48,Hi!,Ross,joy,positive,1
49,What are you doing here?,Rachel,surprise,positive,2
50,"Ah y'know, this building is on my paper route so I...",Ross,neutral,neutral,3
51,Oh.,Rachel,neutral,neutral,4
52,Hi.,Ross,neutral,neutral,5
53,Hi.,Rachel,neutral,neutral,6
54,How?d did it go?,Ross,neutral,neutral,7
55,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn?t shut up.",Rachel,joy,positive,8
56,I?m so proud of you.,Ross,joy,positive,9
57,Me too!,Rachel,joy,positive,10
58,"Listen, I?m ah, I?m sorry I?ve been so crazy and jealous and, it?s just that I like you a lot, so...",Ross,sadness,negative,11
59,I know.,Rachel,neutral,neutral,12
60,Yeah.,Ross,neutral,neutral,13
61,Yeah.,Rachel,neutral,neutral,14
97,What've you been up to?,Chandler,neutral,neutral,0
98,"Oh, you know, the usual, teaching aerobics, partying way too much.",Jade,neutral,neutral,1
99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",Jade,neutral,neutral,2
100,Can you hold on a moment? I have another call.  I love her.,Chandler,joy,positive,3
101,I know.,Ross,neutral,neutral,4
102,I'm back.,Chandler,neutral,neutral,5
103,"So, are we gonna get together or what?",Jade,neutral,neutral,6
104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?",Chandler,neutral,neutral,7
105,"Great, I'll see you then.",Jade,neutral,neutral,8
106,Ok.  Ok. Having a phone has finally paid off.,Chandler,joy,positive,9
107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""",Ross,neutral,neutral,10
108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.",Chandler,neutral,neutral,11
109,Oh my god. You are pure evil.,Ross,disgust,negative,12
110,"Ok, pure evil , horny and alone . I've done this",Chandler,anger,negative,13
4750,Oh my God! How did you get back here?!,Phoebe,surprise,negative,0
4751,"Fire alarm?  Oh! Hi, officer?fireman, can-can I help you?",Phoebe,surprise,negative,1
4752,We found your fire alarm in the trash chute.,The Fireman,anger,negative,2
4753,That?s not mine.,Phoebe,neutral,neutral,3
4754,Yes it is.,The Fireman,neutral,neutral,4
4755,How do you know?,Phoebe,fear,negative,5
4756,"The next time you want to dump a fire alarm in a trash chute, don?t wrap it in a blanket that says, ""Property of Phoebe Buffay not Monica.""",The Fireman,disgust,negative,6
4757,"Okay do you?Okay, do you have a search warrant? Because the last time I checked this was still America!",Phoebe,anger,negative,7
4758,"Please reattach this, it?s against the law to disconnect them.",The Fireman,neutral,neutral,8
4759,Fine!  But please God.. tell me how to stop them from going off!,Phoebe,anger,negative,9
4760,There?s a reset button under the plastic cover.,The Fireman,neutral,neutral,10
4761,There?s a reset button?!,Phoebe,surprise,negative,11
4765,My God!,Phoebe,surprise,negative,12
4766,Why didn?t I see that!,Phoebe,surprise,negative,13
4767,"Reset button, reset button, where is there a reset button?",Phoebe,neutral,neutral,14
4768,Oh here it is!,Phoebe,joy,positive,15
4769,Oh!,Phoebe,surprise,positive,16
4770,"Ohh, God!",Phoebe,joy,positive,17
4771,Four letters: "Circle or hoop".,Ross,neutral,neutral,0
4772,"Ring dammit, ring!",Chandler,anger,negative,1
4773,Thanks.,Ross,neutral,neutral,2
4774,"Hey, you know our phone's not working?",Joey,surprise,negative,3
4775,What?!,Chandler,surprise,negative,4
4776,"I tried to call you from the coffee shop, and there was no answer.",Joey,neutral,neutral,5
